date,dayOfYear,month,day,weekday,sunrise,sunset,description,startDt,startTm,endDt,endTm,type,show,url,notes,format,title,start,end
2022-09-18,261,Sep,18,Sun,6:39:00,19:00:00,Long Walk,2022-09-18,6:39:00,,,Walk,x,#find-us,,Walkx,Long Walk,2022-09-18T06:39:00,
2022-09-19,262,Sep,19,Mon,6:40:00,18:58:00,Short Walk,2022-09-19,6:40:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-09-19T06:40:00,
2022-09-21,264,Sep,21,Wed,6:42:00,18:55:00,Short Walk,2022-09-21,6:42:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-09-21T06:42:00,
2022-09-23,266,Sep,23,Fri,6:44:00,18:51:00,Short Walk,2022-09-23,6:44:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-09-23T06:44:00,
2022-09-25,268,Sep,25,Sun,6:46:00,18:48:00,Day Hike,2022-09-25,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2022-09-25,
2022-09-25,268,Sep,25,Sun,6:46:00,18:48:00,Long Walk,2022-09-25,6:46:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2022-09-25T06:46:00,
2022-09-26,269,Sep,26,Mon,6:47:00,18:46:00,Short Walk,2022-09-26,6:47:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-09-26T06:47:00,
2022-09-28,271,Sep,28,Wed,6:49:00,18:43:00,Short Walk,2022-09-28,6:49:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-09-28T06:49:00,
2022-09-30,273,Sep,30,Fri,6:51:00,18:39:00,Short Walk,2022-09-30,6:51:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-09-30T06:51:00,
2022-10-02,275,Oct,2,Sun,6:53:00,18:36:00,Day Hike,2022-10-02,,,,Hike,x,#find-us,,Hikex,Day Hike,2022-10-02,
2022-10-02,275,Oct,2,Sun,6:53:00,18:36:00,Long Walk,2022-10-02,6:53:00,,,Walk,,#find-us,,Walk,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-10-03,276,Oct,3,Mon,6:54:00,18:34:00,Short Walk,2022-10-03,6:54:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-10-03T06:54:00,
2022-10-05,278,Oct,5,Wed,6:56:00,18:31:00,Short Walk,2022-10-05,6:56:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-10-05T06:56:00,
2022-10-07,280,Oct,7,Fri,6:59:00,18:28:00,Short Walk,2022-10-07,6:59:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-10-07T06:59:00,
2022-10-08,281,Oct,8,Sat,7:00:00,18:26:00,Backpacking,2022-10-08,,2022-10-11,,Trip,x,#find-us,,Tripx,Backpacking,2022-10-08,2022-10-11
2022-10-09,282,Oct,9,Sun,7:01:00,18:25:00,Day Hike,2022-10-09,,,,Hike,,#find-us,,Hike,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-10-09,282,Oct,9,Sun,7:01:00,18:25:00,Long Walk,2022-10-09,7:01:00,,,Walk,,#find-us,,Walk,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-10-10,283,Oct,10,Mon,7:02:00,18:23:00,Columbus Day,2022-10-10,,,,Holiday,x,,,Holidayx,Columbus Day,2022-10-10,
2022-10-10,283,Oct,10,Mon,7:02:00,18:23:00,Short Walk,2022-10-10,7:02:00,,,Walk,,#find-us,,Walk,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-10-11,284,Oct,11,Tue,7:03:00,18:22:00,No Outings,2022-10-11,,2022-10-18,,Special,x,,R in Town,Specialx,No Outings,2022-10-11,2022-10-18
2022-10-12,285,Oct,12,Wed,7:04:00,18:20:00,Short Walk,2022-10-12,7:04:00,,,Walk,,#find-us,,Walk,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-10-14,287,Oct,14,Fri,7:06:00,18:17:00,Short Walk,2022-10-14,7:06:00,,,Walk,,#find-us,,Walk,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-10-16,289,Oct,16,Sun,7:08:00,18:14:00,Day Hike,2022-10-16,,,,Hike,,#find-us,,Hike,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-10-16,289,Oct,16,Sun,7:08:00,18:14:00,Long Walk,2022-10-16,7:08:00,,,Walk,,#find-us,,Walk,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-10-17,290,Oct,17,Mon,7:09:00,18:12:00,Short Walk,2022-10-17,7:09:00,,,Walk,,#find-us,,Walk,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-10-19,292,Oct,19,Wed,7:11:00,18:09:00,Short Walk,2022-10-19,7:11:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-10-19T07:11:00,
2022-10-21,294,Oct,21,Fri,7:14:00,18:07:00,Short Walk,2022-10-21,7:14:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-10-21T07:14:00,
